ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
55534,Colin Gordon Johnstone,M,30,NA,NA,New Zealand,NZL,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Fours,NA
55534,Colin Gordon Johnstone,M,35,NA,NA,New Zealand,NZL,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Fours,NA
55542,Robin Talbot Johnstone,M,18,NA,57,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Eights,Silver
55621,Beverly Ann Jones,F,23,170,60,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,NA
55639,Craig Jones,M,32,193,90,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Single Sculls,NA
55683,John Stephen Major Jones,M,22,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,NA
55687,Kelley Jones (-Amdur),F,26,172,68,United States,USA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,NA
55698,"Luther H Jones, III",M,19,198,93,United States,USA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Fours,NA
55698,"Luther H Jones, III",M,23,198,93,United States,USA,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Pairs,NA
55700,Mara Jones,F,29,174,58,Canada,CAN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Lightweight Double Sculls,NA
